Case,Ann. Mean,Ann. Vol,Ann. Sharpe,TIPS Weight
Baseline,0.1285204969860563,0.08747709979095236,1.469190191412233,0.17529250896310128
Drop TIPS,0.13273609387212412,0.0904521227772194,1.4674735074935583,
TIPS +12bp/mo,0.12036147140966104,0.07464758481369836,1.6123960568858733,1.282486796655853
