,w_tan_TIPboost
BWX,-0.669693329381957
DBC,-0.12139736626055085
EEM,-0.011814866748465873
EFA,0.12255367975773421
HYG,0.12837249013853738
IEF,0.004667243556455209
IYR,-0.2411320570128912
PSP,-0.29255549700577554
SPY,0.7985129063010606
TIP,1.282486796655853
